Sharp Dressed Man	ZZ Top		Chrome, Smoke and BBQ		Rock	6119676	254					2003	5/14/04 12:07 PM	6/3/04 1:02 PM	192	44100		MPEG audio file		Track 8				MP3Vol277:zz top:ZZ Top - 08_-_Sharp_Dressed_Man.mp3	277
zion train - naturalwondersoftheworldindub - 15 - zion canyon	Zion Train		Naturalwondersoftheworldindub			5140879	322						5/11/04 9:17 AM	6/3/04 1:02 PM	127	44100		MPEG audio file						MP3Vol277:zion train - naturalwondersoftheworldindub:zion train - naturalwondersoftheworldindub - 15 - zion canyon.mp3	277
zion train - naturalwondersoftheworldindub - 14 - tassili plain	Zion Train		Naturalwondersoftheworldindub			6482950	358						5/11/04 9:17 AM	6/3/04 1:02 PM	144	44100		MPEG audio file						MP3Vol277:zion train - naturalwondersoftheworldindub:zion train - naturalwondersoftheworldindub - 14 - tassili plain.mp3	277
zion train - naturalwondersoftheworldindub - 13 - krakatoa	Zion Train		Naturalwondersoftheworldindub			3482845	199						5/11/04 9:17 AM	6/3/04 1:02 PM	139	44100		MPEG audio file						MP3Vol277:zion train - naturalwondersoftheworldindub:zion train - naturalwondersoftheworldindub - 13 - krakatoa.mp3	277
zion train - naturalwondersoftheworldindub - 12 - chomolungma	Zion Train		Naturalwondersoftheworldindub			3780865	213						5/11/04 9:17 AM	6/3/04 1:02 PM	141	44100		MPEG audio file						MP3Vol277:zion train - naturalwondersoftheworldindub:zion train - naturalwondersoftheworldindub - 12 - chomolungma.mp3	277
zion train - naturalwondersoftheworldindub - 11 - sargasso sea	Zion Train		Naturalwondersoftheworldindub			4503845	275						5/11/04 9:17 AM	6/3/04 1:02 PM	130	44100		MPEG audio file						MP3Vol277:zion train - naturalwondersoftheworldindub:zion train - naturalwondersoftheworldindub - 11 - sargasso sea.mp3	277
zion train - naturalwondersoftheworldindub - 10 - roussillon	Zion Train		Naturalwondersoftheworldindub			3700244	241						5/11/04 9:17 AM	6/3/04 1:02 PM	122	44100		MPEG audio file						MP3Vol277:zion train - naturalwondersoftheworldindub:zion train - naturalwondersoftheworldindub - 10 - roussillon.mp3	277
zion train - naturalwondersoftheworldindub - 09 - llanberis pass	Zion Train		Naturalwondersoftheworldindub			3416707	202						5/11/04 9:17 AM	6/3/04 1:02 PM	134	44100		MPEG audio file						MP3Vol277:zion train - naturalwondersoftheworldindub:zion train - naturalwondersoftheworldindub - 09 - llanberis pass.mp3	277
zion train - naturalwondersoftheworldindub - 08 - bora bora	Zion Train		Naturalwondersoftheworldindub			5533790	327						5/11/04 9:17 AM	6/3/04 1:02 PM	135	44100		MPEG audio file						MP3Vol277:zion train - naturalwondersoftheworldindub:zion train - naturalwondersoftheworldindub - 08 - bora bora.mp3	277
zion train - naturalwondersoftheworldindub - 07 - ross ice shelf	Zion Train		Naturalwondersoftheworldindub			4583400	265						5/11/04 9:17 AM	6/3/04 1:02 PM	137	44100		MPEG audio file						MP3Vol277:zion train - naturalwondersoftheworldindub:zion train - naturalwondersoftheworldindub - 07 - ross ice shelf.mp3	277
zion train - naturalwondersoftheworldindub - 06 - aurora borealis	Zion Train		Naturalwondersoftheworldindub			3848750	227						5/11/04 9:17 AM	6/3/04 1:02 PM	135	44100		MPEG audio file						MP3Vol277:zion train - naturalwondersoftheworldindub:zion train - naturalwondersoftheworldindub - 06 - aurora borealis.mp3	277
