Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	366
Ragtime Nightingale	Crumb Soundtrack		Crumb Soundtrack		Blues	3603144	150			1			7/19/05 9:41 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Crumb Soundtrack:01-Ragtime Nightingale.mp3	366
Sensation Rag	Crumb Soundtrack		Crumb Soundtrack		Blues	4909684	204			2			7/19/05 9:41 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Crumb Soundtrack:02-Sensation Rag.mp3	366
Harlem Strut	Crumb Soundtrack		Crumb Soundtrack		Blues	4289015	178			3			7/19/05 9:41 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Crumb Soundtrack:03-Harlem Strut.mp3	366
Abraham Jefferson Washington Lee	Crumb Soundtrack		Crumb Soundtrack		blues	2867200	119			4			7/19/05 9:41 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Crumb Soundtrack:04-Abraham Jefferson Washington Lee.mp3	366
Belle of the Philippines	Crumb Soundtrack		Crumb Soundtrack		Blues	3974292	165			5			7/19/05 9:41 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Crumb Soundtrack:05-Belle of the Philippines.mp3	366
Geeshie Wiley-Last Kind Word Blues	Crumb Soundtrack		Crumb Soundtrack		blues	4431872	184			6			7/19/05 9:41 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Crumb Soundtrack:06-Geeshie Wiley-Last Kind Word Blues.mp3	366
Radiator Cap Blues	Crumb Soundtrack		Crumb Soundtrack		Blues	3543585	147			7			7/19/05 9:41 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Crumb Soundtrack:07-Radiator Cap Blues.mp3	366
Gabby Glide Melody	Crumb Soundtrack		Crumb Soundtrack		Blues	6776081	282			8			7/19/05 9:41 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Crumb Soundtrack:08-Gabby Glide Melody.mp3	366
Frog-I-More Rag	Crumb Soundtrack		Crumb Soundtrack		Blues	3025733	126			9			7/19/05 9:41 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Crumb Soundtrack:09-Frog-I-More Rag.mp3	366
Cocaine	Crumb Soundtrack		Crumb Soundtrack		Blues	3160525	131			10			7/19/05 9:41 AM	7/19/05 11:46 AM	192	44100		MPEG audio file						MP3Vol366:Crumb Soundtrack:10-Cocaine.mp3	366
