Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	CD
All I Really Want	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	6835256	284	1	1	1	13	1995	1/21/04 4:43 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:01 All I Really Want.mp3	243
You Oughta Know	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	5984498	249	1	1	2	13	1995	1/21/04 4:44 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:02 You Oughta Know.mp3	243
Perfect	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	4513065	187	1	1	3	13	1995	1/21/04 4:44 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:03 Perfect.mp3	243
Hand In My Pocket	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	5324961	221	1	1	4	13	1995	1/21/04 4:45 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:04 Hand In My Pocket.mp3	243
Right Through You	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	4223429	175	1	1	5	13	1995	1/21/04 4:45 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:05 Right Through You.mp3	243
Forgiven	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	7210157	300	1	1	6	13	1995	1/21/04 4:47 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:06 Forgiven.mp3	243
You Learn	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	5755033	239	1	1	7	13	1995	1/21/04 4:47 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:07 You Learn.mp3	243
Head Over Feet	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	6418339	267	1	1	8	13	1995	1/21/04 4:48 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:08 Head Over Feet.mp3	243
Mary Jane	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	6738700	280	1	1	9	13	1995	1/21/04 4:49 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:09 Mary Jane.mp3	243
Ironic	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	5516794	229	1	1	10	13	1995	1/21/04 4:50 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:10 Ironic.mp3	243
Not The Doctor	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	5466020	227	1	1	11	13	1995	1/21/04 4:51 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:11 Not The Doctor.mp3	243
Wake Up	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	7055303	293	1	1	12	13	1995	1/21/04 4:51 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:12 Wake Up.mp3	243
You Oughta Know (Alternate)	Alanis Morissette	Alanis Morrissette & Glen Ballard	Jagged Little Pill		Rock	11835104	493	1	1	13	13	1995	1/21/04 4:53 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alanis Morissette:Jagged Little Pill:13 You Oughta Know (Alternate).mp3	243
Rotten Apple	Alice In Chains	Alice In Chains	Jar Of Flies		Rock	10056427	418	1	1	1	7	1993	1/19/04 12:47 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alice In Chains:Jar Of Flies:01 Rotten Apple.mp3	243
Nutshell	Alice In Chains	Alice In Chains	Jar Of Flies		Rock	6227708	259	1	1	2	7	1993	1/19/04 12:47 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alice In Chains:Jar Of Flies:02 Nutshell.mp3	243
I Stay Away	Alice In Chains	Alice In Chains	Jar Of Flies		Rock	6109219	254	1	1	3	7	1993	1/19/04 12:48 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alice In Chains:Jar Of Flies:03 I Stay Away.mp3	243
No Excuses	Alice In Chains	Alice In Chains	Jar Of Flies		Rock	6137430	255	1	1	4	7	1993	1/19/04 12:49 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alice In Chains:Jar Of Flies:04 No Excuses.mp3	243
Whale & Wasp	Alice In Chains	Alice In Chains	Jar Of Flies		Rock	3771992	157	1	1	5	7	1993	1/19/04 12:50 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alice In Chains:Jar Of Flies:05 Whale & Wasp.mp3	243
Don't Follow	Alice In Chains	Alice In Chains	Jar Of Flies		Rock	6297929	262	1	1	6	7	1993	1/19/04 12:50 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alice In Chains:Jar Of Flies:06 Don't Follow.mp3	243
Swing On This	Alice In Chains	Alice In Chains	Jar Of Flies		Rock	5868477	244	1	1	7	7	1993	1/19/04 12:51 PM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Alice In Chains:Jar Of Flies:07 Swing On This.mp3	243
Bazmark Fanfare	BLAM & Josh Abrahams	Baz Luhrmann, Anton Monsted, Josh Abrahams	Something For Everybody		Soundtrack	384698	15	1	1	1	17	1997	1/21/04 11:16 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:01 Bazmark Fanfare.mp3	243
Young Hearts Run Free (The Overture Mix)	Kim Mazelle	David Crawford	Something For Everybody		Soundtrack	7519876	313	1	1	2	17	1997	1/21/04 11:17 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:02 Young Hearts Run Free (The Overture Mix).mp3	243
Lovefool (Snooper Version)	Snooper Persson	Peter Svensson, Nina Persson	Something For Everybody		Soundtrack	4521859	188	1	1	3	17	1997	1/21/04 11:18 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:03 Lovefool (Snooper Version).mp3	243
Perhaps Perhaps Perhaps	Doris Day	Joe Davis, O. Farres	Something For Everybody		Soundtrack	3674221	152	1	1	4	17	1947	1/21/04 11:18 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:04 Perhaps Perhaps Perhaps.mp3	243
Time After Time [The S.F.E. Version]	Tara Morice	Tim Cox, Nigel Swanston	Something For Everybody		Soundtrack	10317909	429	1	1	5	17	1997	1/21/04 11:19 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:05 Time After Time [The S.F.E. Version].mp3	243
Che Gelida Manina ( Your Tiny Hand Is Frozen)	David Hobson And The Australian Opera & Ballet Orchestra	Giacomo Puccini, Giuseppe Giacosa, Luigi Illica	Something For Everybody		Soundtrack	3982771	165	1	1	6	17	1993	1/21/04 11:20 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:06 Che Gelida Manina ( Your Tiny Hand Is Frozen).mp3	243
When Doves Cry (Extended Version)	Quindon Tarver	Prince Rogers Nelson	Something For Everybody		Soundtrack	7184466	299	1	1	7	17	1998	1/21/04 11:21 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:07 When Doves Cry (Extended Version).mp3	243
Love Is In The Air (Fran Mix)	John Paul Young	Vanda, Young	Something For Everybody		Soundtrack	6503600	270	1	1	8	17	1997	1/21/04 11:21 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:08 Love Is In The Air (Fran Mix).mp3	243
Nutbod (Houseboats Of Kashmor Mix)	Ann Christine	Benjamin Britten	Something For Everybody		Soundtrack	5837171	243	1	1	9	17	1997	1/21/04 11:22 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:09 Nutbod (Houseboats Of Kashmor Mix).mp3	243
Happy Feet (High Heels Mix)	Jack Hylton & His Orchestra	Yellen & Ager	Something For Everybody		Soundtrack	3371425	140	1	1	10	17	1997	1/21/04 11:22 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:10 Happy Feet (High Heels Mix).mp3	243
Angel (7 Mix)	Gavin Friday	Friday & Seezer	Something For Everybody		Soundtrack	6010184	250	1	1	11	17	1995	1/21/04 11:23 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:11 Angel (7 Mix).mp3	243
Os Quindos De Ya Ya	Stanley Black	Barrosso & Drake	Something For Everybody		Soundtrack	2869855	119	1	1	12	17	1941	1/21/04 11:23 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:12 Os Quindos De Ya Ya.mp3	243
Aquarius Let The Sunshine In	HELENA	Ragni, Rado & MacDermott	Something For Everybody		Soundtrack	7065340	294	1	1	13	17	1997	1/21/04 11:24 AM	1/29/04 11:19 AM	192	44100		MPEG audio file						Mp3Vol243:Baz Luhrmann:Something For Everybody:13 Aquarius Let The Sunshine In.mp3	243
