Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	284
01 I Won't Back Down	Johnny Cash		American III: Solitary Man		Country	2037581	127					9999	6/21/04 10:01 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man III - Solitary Man:01 - 01 I Won't Back Down.mp3	284
02 Solitary Man	Johnny Cash		American III: Solitary Man		Country	2282082	142					9999	6/21/04 10:11 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man III - Solitary Man:02 - 02 Solitary Man.mp3	284
03 That Lucky Old Sun (Just R	Johnny Cash		American III: Solitary Man		Country	2459315	153					9999	6/21/04 10:15 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man III - Solitary Man:03 - 03 That Lucky Old Sun (Just Rolls Around Heaven All Day).mp3	284
04 One	Johnny Cash		American III: Solitary Man		Country	3699406	231					9999	6/21/04 10:20 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man III - Solitary Man:04 - 04 One.mp3	284
05 Nobody	Johnny Cash		American III: Solitary Man		Country	3079148	192					9999	6/21/04 10:19 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man III - Solitary Man:05 - 05 Nobody.mp3	284
06 I See A Darkness	Johnny Cash		American III: Solitary Man		Country	3527195	220					9999	6/21/04 10:26 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man III - Solitary Man:06 - 06 I See A Darkness.mp3	284
07 The Mercy Seat	Johnny Cash		American III: Solitary Man		Country	4371058	273					9999	6/21/04 10:33 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man III - Solitary Man:07 - 07 The Mercy Seat.mp3	284
08 Would You Lay With Me (In 	Johnny Cash		American III: Solitary Man		Country	2545410	159					9999	6/21/04 10:30 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man III - Solitary Man:08 - 08 Would You Lay With Me (In A Field Of Stone).mp3	284
09 Field Of Diamonds	Johnny Cash		American III: Solitary Man		Country	3089178	193					9999	6/21/04 10:33 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man III - Solitary Man:09 - 09 Field Of Diamonds.mp3	284
10 Before My Time	Johnny Cash		American III: Solitary Man		Country	2761506	172					9999	6/21/04 10:38 PM	6/23/04 1:53 PM	128	44100		MPEG audio file						MP3Vol284:Johnny Cash:American Man III - Solitary Man:10 - 10 Before My Time.mp3	284
