Name	Artist	Composer	Album	Grouping	Genre	Size	Time	Disc Number	Disc Count	Track Number	Track Count	Year	Date Modified	Date Added	Bit Rate	Sample Rate	Volume Adjustment	Kind	Equalizer	Comments	Play Count	Last Played	My Rating	Location	323
Merry Christmas, Mr. Lawrence	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	6929507	288			1		1993	10/10/04 9:21 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 01 merry christmas, mr. lawrence.mp3	323
Batavia	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	1013003	50			2		1993	10/10/04 9:22 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 02 batavia.mp3	323
Germination	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	2584013	129			3		1993	10/10/04 9:23 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 03 germination.mp3	323
A Hearty Breakfast	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	1582990	79			32		1993	10/10/04 9:23 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 04 a hearty breakfast.mp3	323
Before The War	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	2088219	104			5		1993	10/10/04 9:24 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 05 before the war.mp3	323
The Seed And The Sower	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	4707757	235			14		1993	10/10/04 9:27 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 06 the seed and the shower.mp3	323
A Brief Encounter	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	2859858	142			7		1993	10/10/04 9:28 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 07 a brief encounter.mp3	323
Ride Ride Ride	Sakamoto, Ryuichi	S. McCurdy	Coda		Soundtrack	1472004	61			8		1993	10/10/04 9:29 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 08 ride ride ride.mp3	323
The Fight	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	1615389	80			9		1993	10/10/04 9:30 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 09 the fight .mp3	323
Dismissed!/Assembly	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	2203661	110			10		1993	10/10/04 9:31 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 10 dismissed assembly.mp3	323
Beyond Reason	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	1725626	86			11		1993	10/10/04 9:31 PM	10/18/04 1:23 PM	160	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 11 beyond reason.mp3	323
Sowing The Seed	Sakamoto, Ryuichi	Ryuichi Sakamoto	Coda		Soundtrack	2199885	91			12		1993	10/10/04 9:33 PM	10/18/04 1:23 PM	192	44100		MPEG audio file						MP3Vol323:ryuichi sakamoto - coda:ryuichi sakamoto - coda - 12 sowing the seed.mp3	323
